Id,SalePrice
1461,172132.210455371
1462,188321.570563742
1463,188321.570563742
1464,188321.570563742
1465,172132.210455371
1466,188321.570563742
1467,188321.570563742
1468,188321.570563742
1469,172132.210455371
1470,172132.210455371
1471,172132.210455371
1472,172132.210455371
1473,188321.570563742
1474,188321.570563742
1475,172132.210455371
1476,188321.570563742
1477,188321.570563742
1478,188321.570563742
1479,188321.570563742
1480,188321.570563742
1481,188321.570563742
1482,172132.210455371
1483,188321.570563742
1484,172132.210455371
1485,188321.570563742
1486,188321.570563742
1487,204510.930672113
1488,172132.210455371
1489,172132.210455371
1490,172132.210455371
1491,188321.570563742
1492,91630.9283297936
1493,188321.570563742
1494,204510.930672113
1495,204510.930672113
1496,172132.210455371
1497,172132.210455371
1498,172132.210455371
1499,172132.210455371
1500,172132.210455371
1501,172132.210455371
1502,172132.210455371
1503,155942.850347
1504,188321.570563742
1505,188321.570563742
1506,204510.930672113
1507,204510.930672113
1508,188321.570563742
1509,204510.930672113
1510,188321.570563742
1511,188321.570563742
1512,188321.570563742
1513,188321.570563742
1514,236889.650888854
1515,188321.570563742
1516,188321.570563742
1517,172132.210455371
1518,204510.930672113
1519,188321.570563742
1520,188321.570563742
1521,188321.570563742
1522,188321.570563742
1523,188321.570563742
1524,172132.210455371
1525,188321.570563742
1526,172132.210455371
1527,172132.210455371
1528,188321.570563742
1529,188321.570563742
1530,172132.210455371
1531,188321.570563742
1532,172132.210455371
1533,188321.570563742
1534,188321.570563742
1535,188321.570563742
1536,188321.570563742
1537,91630.9283297936
1538,107820.288438164
1539,188321.570563742
1540,124009.648546535
1541,172132.210455371
1542,188321.570563742
1543,107820.288438164
1544,91630.9283297936
1545,172132.210455371
1546,188321.570563742
1547,188321.570563742
1548,188321.570563742
1549,172132.210455371
1550,204510.930672113
1551,172132.210455371
1552,204510.930672113
1553,188321.570563742
1554,188321.570563742
1555,188321.570563742
1556,107820.288438164
1557,107820.288438164
1558,107820.288438164
1559,124009.648546535
1560,172132.210455371
1561,124009.648546535
1562,188321.570563742
1563,172132.210455371
1564,188321.570563742
1565,204510.930672113
1566,155942.850347
1567,91630.9283297936
1568,204510.930672113
1569,204510.930672113
1570,188321.570563742
1571,188321.570563742
1572,188321.570563742
1573,155942.850347
1574,188321.570563742
1575,155942.850347
1576,188321.570563742
1577,172132.210455371
1578,188321.570563742
1579,172132.210455371
1580,188321.570563742
1581,188321.570563742
1582,188321.570563742
1583,188321.570563742
1584,204510.930672113
1585,155942.850347
1586,91630.9283297936
1587,188321.570563742
1588,188321.570563742
1589,91630.9283297936
1590,188321.570563742
1591,188321.570563742
1592,91630.9283297936
1593,172132.210455371
1594,236889.650888854
1595,188321.570563742
1596,204510.930672113
1597,220700.290780483
1598,188321.570563742
1599,155942.850347
1600,172132.210455371
1601,155942.850347
1602,172132.210455371
1603,188321.570563742
1604,172132.210455371
1605,188321.570563742
1606,188321.570563742
1607,220700.290780483
1608,188321.570563742
1609,172132.210455371
1610,188321.570563742
1611,172132.210455371
1612,188321.570563742
1613,188321.570563742
1614,172132.210455371
1615,188321.570563742
1616,188321.570563742
1617,188321.570563742
1618,188321.570563742
1619,172132.210455371
1620,204510.930672113
1621,188321.570563742
1622,220700.290780483
1623,188321.570563742
1624,188321.570563742
1625,172132.210455371
1626,204510.930672113
1627,188321.570563742
1628,204510.930672113
1629,188321.570563742
1630,155942.850347
1631,172132.210455371
1632,172132.210455371
1633,188321.570563742
1634,188321.570563742
1635,188321.570563742
1636,188321.570563742
1637,188321.570563742
1638,204510.930672113
1639,188321.570563742
1640,204510.930672113
1641,188321.570563742
1642,188321.570563742
1643,188321.570563742
1644,188321.570563742
1645,188321.570563742
1646,188321.570563742
1647,188321.570563742
1648,172132.210455371
1649,188321.570563742
1650,188321.570563742
1651,188321.570563742
1652,172132.210455371
1653,172132.210455371
1654,188321.570563742
1655,172132.210455371
1656,188321.570563742
1657,188321.570563742
1658,188321.570563742
1659,172132.210455371
1660,188321.570563742
1661,204510.930672113
1662,188321.570563742
1663,188321.570563742
1664,172132.210455371
1665,188321.570563742
1666,188321.570563742
1667,220700.290780483
1668,188321.570563742
1669,172132.210455371
1670,188321.570563742
1671,188321.570563742
1672,188321.570563742
1673,204510.930672113
1674,188321.570563742
1675,172132.210455371
1676,155942.850347
1677,172132.210455371
1678,172132.210455371
1679,188321.570563742
1680,172132.210455371
1681,172132.210455371
1682,188321.570563742
1683,172132.210455371
1684,188321.570563742
1685,188321.570563742
1686,172132.210455371
1687,188321.570563742
1688,188321.570563742
1689,188321.570563742
1690,188321.570563742
1691,188321.570563742
1692,204510.930672113
1693,188321.570563742
1694,188321.570563742
1695,188321.570563742
